Title,Review,Rating,Date
Too boxy,"This top has a really pretty pattern and is good quality, but was just too boxy for me. i also felt like the sleeves were a little odd/big. 

the fit is tts, though slightly shorter then it looks on the model.",3,04/12/2018
Tight in the chest,"I'm 5'2 and based on some other reviews i opted for the regular rather than petite and am glad i did. even the regular is kind of short. if i raise my arm(s) all the way up, skin is typically exposed. i originally ordered a medium and i liked the fit everywhere except for the chest. i'm a 34dd and i felt like i couldn't move my arms. i exchanged it for a large to sacrifice some of the fit for some more arm movement. the cut is already a bit boxy so having it a bit boxier with more arm movement w",4,21/08/2018
"So cute, but tricky fit","This top is adorable and looked pretty on, but when i raised my arms the top wanted to rise up and then stay there above the breast level. it didn't settle back into place when i lowered my arms. maybe a larger size would have helped, but then it would have been a boxy fit. i also found it hard to take off, even with the button on the back of the neckline. the length is cropped, so you would want to wear it with a high-waisted skirt or pants. i like the details in the fabric a lot, but i didn't",4,16/04/2018
Short wasted and fun,"Fyi the neck does have a hook and eye closure so there is room to get it on and off. the fabric is not stretchy. the lining is a nice navy. however, the sleeves are not lined. the cut outs have a beautiful blue lace behind it. it hit me at my waist. i'm 5' 3"" , 118#. i loved this top. worked with a pair of the new essential skinny trouser by retailer, and the nansen pointelle cardigan in yellow. this also paired well with a pair of rust colored skinny pilcro with a long necklace.",4,07/07/2018
Adorable but runs small,"I agree with others that this top runs small. i am usually a 2/4 in retailer tops and the small was very tight around the chest area. however, it looked so cute on! i wanted to buy it so badly, but it just didn't work for me. the design is absolutely adorable but i could not lift my arms without the whole top riding up. they did not have a medium in the store so i couldn't see if a larger size would work. overall, such a cute top, just not appropriate for someone my age or practical for someone ch",4,14/11/2018
Very femenine and pretty!,"Well, i totally disagree with the previous reviewer on this one! i think this top is very pretty. yes, it does hide any flaws in the tummy, but it is not wide nor does it make you look pregnant (side or front view). i am 5 ft, 2 inches, broad shouldered, 36c and the small fit nicely (i usually wear a small to medium in retailer tops). i am thinking of purchasing the xs as there is still plenty of room around the chest/arm area. the lace is pretty, looks good worn with a dark colored pant. the only",4,10/10/2018
Lampshade,If you like to wear lampshades this is the shirt for you. beyond unflattering. boxy and seriously looks like lace was stitched to the bottom of a lampshade,1,30/10/2018
Adorable,Beautiful top but runs a whole size small. gave to my daughter who loved!,4,03/05/2018
Too big,I ordered a m as the previous review said it ran small. i found it to be very large. i have more curves than the model and also thought it made me look boxy.,3,04/11/2018
So flattering,Make sure to get the whole outfit. the skirt sits high enough so that it avoids the muffin look.,5,20/07/2018
Too ruffly,"I had high hopes for this top, as it looked great online. unfortunately it was much more ruffly in person and not my style at all. it was a lot of fabric and poofed out too much -- reminded me of a child's top. sad to return it!",3,25/11/2018
Such a cute top!,"Just got this top in the mail today, and i love it. i bought the white in a small, and it fits as pictured on the model. the fabric says it's cotton, but it's a substantial fabric and feels as soft as silk. the bodice is lined, so no bra lines show through. the tiered part of the tank is not lined but is not really sheer or see-through. the arm holes are not too large, as sometimes happens on me when i wear sleeveless tops. i think i'll be wearing this one a lot this summer, and a lot of summers",5,19/04/2018
Interesting,"Love the block appearance. looks exactly like on the model ! material again could have been better. dry clean only, so expensive wear. price per wear may be high due to that as each time you dry clean price actually goes up and use goes down.",4,01/09/2018
Beautiful,"I loved this top but it runs small so i had to send it back, unfortunately.
beautiful styling and color blocking. just wish there had been a larger size available to have been able to exchange for.",5,10/04/2018
Wide and muted color,This looked really pretty but i think i am just too short for it. a little on the wider side. would look good on someone taller,4,12/03/2018
So much cuter than picture!!,"I was checking out at my local retailer when one of the salespeople held up this top and said someone had just returned it.  they were talking about how cute it was (they didn't have it in the store).  i asked what size it was and it was a medium, so i said i want to try it on.  after trying it on, i fell in love, it is so cute, the cut fit great.  it is a little big but the small might have been too snug in the bust.  if you are in between sizes, you can probably size down.  i wore it yest",5,15/11/2018
Pretty blouse!,"I love this blouse! i just bought it recently and have yet to wear it out other than trying it on. this blouse looked very nice on me which can be challenging. i don't live near an retailer so i have to order online exclusively. i have larger hips (135lbs, 5'6) and finding flattering tops can be tough. sometimes they look amazing online and then once i try them on, they just don't look right. some shirts have a tendency to accentuate my hips too much making me look shorter. this top looked great a",5,08/07/2018
My favorite new blouse,"This blouse is so pretty. i love the long tie. the pattern is very unique. it is a thin, light weight fabric so you can easily wear it underneath a leather jacket.",5,21/03/2018
Very interesting design,"When i received this blouse, ai noticed that there were gold dots all over the blouse and they were very sticky. some of the fabric would stick to these dots. i thought it was because the weather was sticky and humid. however, after hanging on my closet door, the dots are still sticky. i do love the design and fabric so i will try not to let the sticky dots bother me.",5,05/04/2018
Beautiful fabric,This too is so beautiful in person. there is gold dots all over the blouse that are not overwhelming. i love this top with business attire and denim. fits tts.,5,13/11/2018
Could have been cute...,"The fabric was nothing special (i usually like a cotton/silk blend woven fabric, but this was stiff feeling) and the pattern was cute. but what made me return it was the fact that 1) the rose gold glitter dots are puffy paint. literally. puffy. paint. and 2) the dots were not quite dry on my top when it arrived. parts of the paint came off on my fingers and the top was stuck to itself because of it. i could barely unfold it.

i'm sure this could have been cute, but who wants a top that looks lik",1,19/03/2018
Super comfy,"Love this blouse, it;s super comfy, looks awesome with jeans. this blouse runs true to size i purchased in my normal size small.",5,06/06/2018
Retailer like it used to be!,"This top reminds me of the special tops i got ""once upon a time""...when retailer adopted a more curatorial approach to their store. this is a beautifully-made top...quite dramatic but comfortable. i've received many compliments each time i've worn it. it has wonderful drapery and movement.",5,29/01/2018
Lovely blouse!,"Love the detail and the way it hangs. i sometimes struggle with blousy tops because i have a larger chest, but this one didn't make me look pregnant! i purchased this with the 30% off... i wouldn't have paid full price for it.",4,02/08/2018
"Beautiful top, looks great with black/gray jeans","I love this top. the quality is excellent. the blouse is lined and falls nicely.. i like to wear it with a pair of dark gray jeans. the color is described as ""orange"", but it really has more of a bronze tone. looks very rich and exotic. it's perfect top when you want to wear jeans, but want to dress it up a bit.",5,06/05/2018
"Cute top, but beware it shrinks!!","This top was quite voluminous when i purchased it and i sized down to an xs, however after hand washing it once in cold water it has shrunk significantly. it still fits, but something to be aware of.",3,08/07/2018
Worth thr $$$,This top is such a great investment piece. looks classy and is comfortable all at the same time. it is pricey but you will not regret buying this. goes great with light trouser denim or i have the green pilcro khakis. it will he something you will keep in your closet for a long time.,5,19/05/2018
My absolute favorite top,"This shirt fits very true to size, with very soft and comfortable material that hangs just right. wears well and is versatile for many occasions. please come out with more colors so i can purchase them as well!",5,21/06/2018
Love this blouse!,Great that it's hand washable because i hate the smell of dry cleaned garmets.,5,20/11/2018
Shrinks,I loved this blouse when i got it and wore it before washing. it fit really well and was flattering. the only time i laundered it i hand- washed it in cold water and hung it to dry. the blouse shrunk at least a full size and in awkward places. the sleeves are now tight and way too short. the overall length shortened by at least 2 inches. the top is so tight in the bust now that the buttons popped open. i'm very disappointed and surprised.i will be returning it as it is unwearable as is.,1,22/05/2018
Cute top!,This top is really cute and true to size. i like the color and the nice details.,5,10/08/2018
Love this blouse,"Tried this blouse on in the store and fell in love with this top. i went down one size since i am a true petite. they were sold out of the petite small, but the regular x-small fit perfect. it is a little short so it's perfect for shorter people,",5,03/09/2018
"Beautiful top, but it shrank substantially!","This top is gorgeous in both detail in color. it fit great and true to size, but then i hand washed it as instructed on the label and it shrank substantially to the point that it's now too short and needs to be returned.",3,04/04/2018
Gorgeous top!,"I love this blouse. the lace panels are slightly sheer, but nothing inappropriate. the solid fabric is a lovely sort of heavy crepe. stunning bright cobalt blue color. i'm an xl in retailer and this top fit well in xl; ever so slightly snug at one part on the sleeve but nothing noticeable or uncomfortable. be aware, this did bleed blue when it was soaking and it did drip blue water while it was air drying on the hanger. while this blouse is still wet i would stretch out the sides and sleeves to ge",5,06/09/2018
Very pretty,"I bought this blouse on sale in a medium because it was the last one left in the store. i usually wear a large, but surprisingly it fit. i'm a woman of color, and the off white and lace looks great with my complexion. i got many compliments on the blouse as i made my way to the register to check out. i can't wait to wear it this spring. i'll have to be careful when wearing this blouse because one good snag with a fingernail, or necklace and the lace will be torn. other than that, i'm very happy",4,21/03/2018
Bright and airy!,"The color of this top is a bit more vibrant than online. material is light, but i can wear a beige bra underneath and not need a cami. fit was true to size for me and detail at the neckline is flattering. a keeper for me!",5,01/04/2018
Beautiful,This top is just adorable. i'm usually between an xs and a small and i went with the small and it's a little more roomy. i wanted it to be long enough. the colors are beautiful and it's a must have.,5,31/10/2018
Greenhouse tank,I loved this top . it is beautiful.,5,21/04/2018
Pleasing spring floral print,The picture doesn't do it justice. i am wearing it right now with cream pants to work with a cardigan i also purchased from retailer and it looks amazing. the fit is true to size. i am large chested but it fit comfortable...i did go up a size so it is a little longer than i like but i think if i had picked my normal size it would have been a little too snug at the chest. still looks amazing. i feel very feminine in this blouse. good quality material.,5,14/10/2018
Gorgeous spring blouse!,"So stunning, i had to have it for my spring wardrobe! fits true to size and fits well in the bust and is looser on the bottom. the model weara it just as it fits on me. if you have a large bust you may need to size up as the fabric isn't stretchy.",5,13/06/2018
Dissapointed,I agree with the other reviewer that the color of this top is more burgundy with purple undertones rather than a deep red like shown online. the fit was very boxy on me and it did not look flattering. i was not willing to to have it altered so i returned it.,3,30/10/2018
Cute and different!,"More flattering than it looks on the model. comes in at the waist on me. i ordered it in blue, and it's very pretty; will go nice with a business suit but requires a cami underneath for work occasions.",4,31/10/2018
Pretty,"The colors on this are beautiful! i have wider hips and thighs and this blouse just looks too boxy on me. i ordered a size down and from that aspect it fit. however, it is too flowy and boxy for my body type. i considered keeping it for layering but even on sale, it is too expensive for this purpose. i'm so bummed because the colors are so pretty!",4,15/05/2018
Nightbelle halter top,"Very cute on, fits well. versatile top, i think it will work well with a sweater or blazer for fall.",5,09/07/2018
Beautiful but strange back design,"This top is very pretty and looks expensive and as pictured
nice pattern and could be dressed up or down
the gathered neck is beautiful and has a bit if a stretch 
however, the back of the top has strange bat wing-like design element that seem unnecessary and distract from the elegance of the rest if the top
sadly, i think i may send it back.",4,07/07/2018
Beautiful - the first time you wear it.,"This top was gorgeous and fit perfectly right out of the bag, with only a quick ironing. unfortunately, the first time i washed it (cold water, hang dry), it shrunk so that it no longer fits across the bust without tape where it was once roomy, is much shorter, and feels rougher to the touch. like another reviewer said (unfortunately, after i had purchased and washed!), i wish the label would have just said to dry clean only, because i regret washing it and would have done otherwise if i had kno",2,13/04/2018
Simple yet charming,"I really wish i could keep this top. the material is okay and i have noticed with this brand, shirts made from this material do not wash well or look that nice after a wash. if you have the time to dry clean then i would 100% recommend this top. another tip if you buy this (since i didn't read the description) the top has buttons all down the front. i am not a fan of button tops because i have a larger chest so i wouldn't recommend this top to someone who is busty.",3,06/02/2018
Stunningly beautiful,"I took a risk and bought this blouse and got a wonderful surprise. i bought my usual size small (34c, 31"" waist) and it was perfect. the details of this blouse are amazing. you cannot see the flecks of copper-gold leaves all over the fabric or the gold threads running down the seam in the front. it is really, really beautiful. the fabric overall is soft and flowy and the sleeves do not stand out off my shoulders in a weird way. there is a soft flow of ruffle down both sides of the shirt. the fro",5,24/07/2018
Classic flannel,"This is a simplistic beauty. the colors are lovely and as pictured. i believe it is tts but if your small busted you could probably go down a size. i personally stayed with my small and i lke the flow of it. the flannel has a nice weight to it so you can wear this fall, winter and early spring if you live in a cooler climate.",5,26/03/2018
Lovely top for fuller figures,"Gorgeous top, and generous to fuller figures. i meant to order an xl but somehow ended up with the l. was positive i'd have to return it, but it was perfect. went back and bought the white. it's one of those wonderful pieces that feels classy and fun at the same time. very flattering fit.",5,26/10/2018
Nellore blouse for the win!,"This blouse is stunning. i have been wanting it for some time. i finally broke down and purchased it. i am 5' 8"" and about 160lbs. i generally wear size l /size 10. i bought this in a large. i need a medium for sure. i could get away with the large, but it's very flowy. i think the med will be more flattering. i am planning to exchange for a smaller size. i would recommend this blouse for sure. if you want it, buy it. it's often times sold out.",5,20/11/2018
Very pretty!,"I purchased this blouse over the summer and it's very pretty. i love the cap sleeves with the lace and the detail in the front. it can be dressed up or dressed down, my only complaint is that it wrinkles very easily.",4,01/08/2018
Shrunk!,"I was so excited about this top, super cute and fit perfectly but as soon as i washed it (cold, hand wash, air dry) it shrunk! now it is too short and tight. i did not expect the material to shrink so very disappointed.",3,22/11/2018
Well made and flattering,The blouse is as shown in the picture. it falls nicely and is flattering to wear. the detail on the yoke and hemline is of good quality. i've received a lot of compliments on this top.,5,26/04/2018
Great details and fit!,"Ordered this top in navy with white irregular dots since it was not available in smaller sizes in the store. i took a chance and ordered an xs and the size and fit are perfect! love the scalloped edge, small side slits and the crocheted detail on the top. great addition to my florida wardrobe!",5,11/04/2018
Great details,"I got this shirt in black, and it's perfect for the office. i ordered a medium, which i thought was a little on the larger side. well made, the details make it an interesting top.",5,10/08/2018
"Fun, neutral layering piece","This top is a great neutral layering piece with some nice visual interest. the black-and-white pattern and tie-neck style will add a little something to a cardigan or blazer. the neck can also be tied multiple ways. it's definitely appropriate for work and i found it tts. i normally wear a 10/m, and took an m in this top.",5,27/10/2018
"Cute, work appropriate top","Wish i had snagged both styles of this shirt before they sold out. this is a very cute, work appropriate top - good weight and quality to the shirt. i wear a lot of black and white at work (so sick of gray..why are all business clothes gray?) and this top will be added into my regular rotation.",4,30/07/2018
Gorgeous and unique,"I ordered this shirt and was happy to see that it looks just like it does online -- i love the rusty orange and pale blue contrast with the navy. the navy blue underlayer is so flattering, and the sheer sleeves are feminine and lovely. the shape and pattern are forgiving. this brand is really hitting it out of the park these days. this blouse runs a bit smaller than some meadow rue. if you're between sizes (especially arm-wise), i'd order up. otherwise just get your regular size. the body is flo",5,25/06/2018
"Oh dear, no!","Uhm no. oh dear, no. i was initially drawn to this blouse's lovely fabric, the color and pattern are truly stunning. i decided to give it a try because it seemed somewhat boxy, oh boy was i right. sadly, this is one of the least flattering tops that i've ever tried on at retailer. it might be a great maternity top, though.",1,20/02/2018
Perfect tenfold,"This is so retailer - pretty in pink, unique design and print. i love origami and i love pink, and this blouse is a perfect combo. i ordered size petite s (i'm 34b, 26 waist, 36 hips) and it fits perfectly (the hem falls on the upper hips, just like shown on the model). the top has structure, not too soft and not too stiff. i think the sleeves are very unique and great for those gals who are conscious about their big arms, like me. this top has everything: flair, bright color, unique print, but al",5,09/04/2018
Perfect summer top,I absolutely love this top! cute and feminine without being over the top. i basically love everything meadow rue puts out there...and this was no exception.,5,15/11/2018
Love it!,I had this in my cart for a while online and ended up finding it in store. the medium fit good and looked great. i can't wait to wear it with a great pair of leggings. i did have to buy some static spray as it was sticking to my leggings i had on that day buying it.,5,22/07/2018
Great for leggings,"I love the length of this top and i love tops that don't cling in the tummy area. it fits well and the crochet detailing is nice. for reference, i'm 5'.4.5"", 150 lbs, 34dd and the m fit me well. since i'll be wearing this with leggings mostly during colder months, this top is a little bright and the material is not meant for cold days. since i live in texas, i can get away wearing it even in colder months.",4,24/10/2018
Beautiful top,"This top definitely looks better in person. i thought it looked pretty online, but when i tried it on, it looked even better! this top is on the longer side and fits like it looks on the model. the fabric is perfect in my opinion because i don't have to 1) dry clean it, 2) iron it, or 3) worry about it itching or bothering my skin. i am 5'8"", 140 lbs, and 34 a/b. i purchased a size xs and it drapes wonderfully. i love the crochet around the neckline, the 3/4 length sleeves, and the colors of the",5,04/06/2018
"Love, love, love!","Saw this top online and immediately had to purchase it! the first time i wore it i received many compliments... even my husband commented how cute it is. as shown in the photo, the back is longer than the front. i am 5'6"" and my top fell as the model's does. love this top and so happy with my purchase! i bought a size small, i normally wear medium or small tops. fit runs a little large, but small fit perfect!",5,18/06/2018
Adore! fancy!,"I love this top, it is a very soft material and it looks very classy.. i have worn it with a skirt for work and skinny jeans. i have a bigger bust and i wear a small, it is true to size. very classy!!",5,07/03/2018
Very pretty in person,"The top is quite lovely and good quality. i ended up getting a size 4, which fit similarly to the model photos. i am smaller up top and wide in the hips, but the shape worked well for my shape.",5,11/05/2018
A perfect white top,"A 3-season top that compliments jeans, dress pants, shorts & skirts. light-weight and double layered (so should you go without a bra the girls have protection). emphasizes nice shoulders, length just covers any belly flaws. i'm a 6-8 and could have gone small or medium here.",5,20/08/2018
Just lovely,I am a petite person with broad shoulders and got this in a size small. i absolutely love it! it is similar to how it looks online but is even better in person. you could wear this with just about anything. so glad i bought it.,5,20/06/2018
Easy breezy :),Gorgeous top! very beautiful and easy. can be dressed up for work or just worn with a pair of jeans. note the fabric is semi sheer so a nude bra or cami is a must with this but it's going to be fantastic for summer!,4,12/07/2018
Really beautiful.....,"I wear between a l and xl..i chose the xl which was the right choice..if you are a bit curvy in proportions, i could size up. the color is gorgeous...i just logged back on to order another if there were options, but alas, there are not. flattering arm cut! could be worn for work, or with jeans/ out to dinner. it's cute, you won't regret it! (as a side note, it is sheer...which you can see in the photo. needs a cami)",5,22/04/2018
Love this,"For some reason they are not replenishing this shirt even though it sells out like wildfire. 
i got a small even though i was pretty sure i needed an extra small. this shirt is pretty wide, not prohibitively wide but not a fitted shirt by any means. i'd love to get this in my size if they ever opt to sell more in the ivory.",5,07/12/2018
Beautiful,"This top is unique and beautiful but the fit does not work for me. i am tall with broad shoulders. the shoulder and upper arm areas are too tight, but the rest of the top is loose and flowy, so if i go up a size it will be too wide. the length and arms are also much shorter on me than pictured. i don't see this in the description but it comes with a cream colored cami layer, and the sleeves have a roll/button tab function. the brand is meadow rue. this will be really pretty on someone more petit",4,18/11/2018
Happy birthday to me!,"Another winner for me! this top drapes wonderfully, the lace is beautiful and looks fabulous on! i would highly recommend it!",5,25/03/2018
Beautiful detail but delicate,"The detail on the fabric of this blouse is beautiful and unique, especially the peachy/pink and orange detailing which is hard to see in the picture. the fabric and seam are quite delicate though so it just needs to be worn and handled with care. fits true to size. 5'5"", 135lbs, 34c and the small is perfect.",4,01/09/2018
Better in person,I probably would have never purchased this blouse is i had only seen it online. but i was at our local store looking for something else and spotted it hanging all the way on the other end of the store. a salesperson encouraged me to try it on and it is beautiful! it can easily be dressed up or down. you can tie the bow in multiple ways or leave it hanging. it is sheer but the pattern obscures the transparency so no camisole is needed. it embraces the 70's vibe in a modern way. i absolutely love,4,25/02/2018
Wish it were made out of cotton,"It's sheer, the design /print is casual, but on silk like material. had it been made out of cotton would have definitely kept it! who is going to wear this in the blazing heat of summer???",1,29/10/2018
Piece didn't make sense,This piece didn't make sense to me.  maybe it's bc i'm a yankee fan but it reminded me of a high end baseball jersey that was sheer.  i didn't think it was office appropriate but too dressy for casual wear.  it went back.,2,18/07/2018
Beautiful detail!,"I ordered this top on sale and so glad that i did. i am usually a small in tops, but had read that it runs small. i went with a medium and wish that i picked the small. it is definitely a swing top. it's best feature is the detailing; it's gorgeous. i paired it with jeans and a white denim jacket.",5,28/06/2018
Nice top - runs small,"I am normally a size medium or small at retailer (depending on the bust) and could not even get the medium in this top past my neck. it runs very small. unfortunately the size large was not in stock for me to try. truthfully, i might have needed the xl in this - it runs that small. for reference, i am 5'6"", 145 lbs, 34dd. also, the beading on the top i tried was coming loose and some was already missing. seems to be a common fault based on what other reviewers have said.",4,01/07/2018
Stunning!,"Ordered this top the second i saw it!
i wear a small or med. depending on the cut and fabric............noticed it is cotton and went with a medium.
so happy i went with the larger size.......runs very small, especially in the chest, and there is no give in the fabric.
stunning top but would go up one, possibly two sizes.",5,24/07/2018
Very pretty and very lightweight fabric,Fabric was a little more shear than i thought it would be - while not a big deal - it was missing a few of the silver beads along the front line of the top. returned,3,09/06/2018
In love with nala!,"I paired this gorgeous top with a black v-neck cardigan, mother lookers and black booties and felt and looked so totally feminine and amazing...i honestly lost count of the compliments that i received!!  beading is sewn on tightly, and the stitching on the embroidery has no loose ends.  i am 5'3""/108 and took the regular size small.  highly recommend!!",5,11/04/2018
Too loose at bottom,"This top is not for a curvy figure. the embroidered part is gorgeous, very stunning, but the loose bottom part is awful. i am curvy and usually wear l or xl. this top was fitted at the top but very loose at the bottom, made me feel like i had a big tummy, and was a tad short. i am sending this back. this would look better on a more slender frame.",3,15/10/2018
Beautiful blouse with lovely cotton-lace detail,"I bought this blouse in ivory, which is almost white, just as pictured. it's pretty sheer (as shown in the pics) and the cotton lace insets show the top and straps of my bra. despite this, i'm keeping the blouse and will sort out how to wear it because it's so unusual and gorgeous! if black looks good on you (it's bad on me), i'd probably go with that colorway over the ivory because it's easier to blend a black bra with a black blouse than a nude bra with an almost white blouse. the blouse runs",4,14/10/2018
"Perfect style, will be a favorite",This is going to be a favorite. the fabric is substantial without being heavy. it has a beautiful drape. this blouse is loose but skims the body closer rather than being blousy. it works perfectly worn with a skirt or pants and belted or tucked but is not too blousy if left unbelted. i purchased the black with the lovely feather pattern. the colors are vibrant. i'm always looking for something black with some color because i tend to wear a lot of black on the bottom. this fit true to size. i am,5,24/06/2018
Lovely tunic,"Well-made and well-designed tunic top. looks great over pants. not recommended for tucking in, as the pin tucks hit right at the waistline. the ivory is a bit see-through so i wear it with a cami underneath. be aware that your bra will likely be visible through the cut-outs in front. i didn't realize that the first time i wore it and was amazed to discover, at the end of the evening, how tacky it looked. to avoid that you need a low-cut bra. with the proper undergarments, this is a great top tha",4,04/07/2018
Grab it while you can!,"I actually paid full price for this over the winter and i'm not sorry i did. great top w/lovely fabric. i usually wear a small but in this top, an xs, so it runs a bit large.",5,18/02/2018
Beautiful,This blouse looks even better in person. it fits true to size and is lightweight. i am not a huge fan of designs on shirts and usually stick with solids but i find this design to be very flattering. i just bought it today but i know i will get a lot of use out of it.,5,20/03/2018
Pretty print!!!,"Today was my first visit to our new store! the sales person had this on and i liked the medium tones of the colors. many times i hesitate to order because i never know if the brand will run small and this does not. if you wear a medium in michael kors shirts, order medium.",5,06/09/2018
Universal top,"I'm not sure why it's considered a ""blue motif,"" i think it's more on the black and cream side. other than that this is a great silk top for warmer weather, it's lightweight and airy and you'll probably want to wear a nude bra underneath. looks great with jeans and heels for a fun night out as well as trousers for work. i'm 5'7"" and almost 130 lbs with a 34a bust and a small fit great.",5,16/09/2018
Pretty pleasant,I like this on the model so i ordered it. it is not quite as deep in color as online but still pretty. it fits well not too loose and not tight at all. i will get great use out of this all the way through spring!,4,20/08/2018
Great top for spring and summer,I was a bit unsure when ordering because of the cut of this blouse. i have a lean athletic torso but i am a 32dd. sometimes tops like this can make me look heavy or pregnant. love the fit though. it fits lovely and comfy. it goes well with jeans or cream colored pants and will be a nice addition to my spring wardrobe.,5,26/05/2018
Beautiful,"Rec'd so many compliments on this.  absolutely beautiful, comfortable and versatile.  try it with white crops and cute heels!",5,15/10/2018
Super cute,This fits a little short on me and i'll have to wear a shirt underneath even with a high waist pant. i still adore it! get it for the price!,5,18/06/2018
Unique and good quality,"The material used is soft and breezy and good for summer.the design is unique and catchy. the two cons its dry clean and runs very large. i normally wear m from retailer and this top in ""s"" still too roomy. since its for summer, i'm keeping it as it is.",4,08/06/2018
Great style,"This pull over is so easy to wear, very comfortable and has a great bohemian vibe. it's quality seems higher than what i was expecting- lots of details, tassels, fringe and hood. i travel a lot for work internationally and it's become my go-to for the plane, dinners and excursions- makes a boring outfit looks effortlessly cool. would love to see more items like this pullover in the store this fall.",5,03/04/2018
Great piece,"This pullover is perfect for spring all the way into fall. it is comfortable and the perfect piece to throw on over a summery tank and jeans. i've even worn it over dresses before and it worked great. soft fabric, but durable. i've had a lot of compliments on this pullover and recommend it for you!",5,20/02/2018
Beautiful blouse,"True to size, nice unique shoulder/neckline fit and blousey/full on the bottom and arms which taper in. for me, i prefer to wear it tucked or partially tucked in to add waist definition. though a vest or belt can also be used. sheer, you will need a cami. lovely flow and colors., the collar,pleats and neck tie add a romantic interest. just beautiful.",5,27/04/2018
Very nice blouse!,"Received this blouse to wear for the holidays and was not disappointed. the design of the shirt is to be relaxed and flowing. i usually wear a medium which is what i ordered. the shirt fit fine but i probably could of managed with a small if i did not want it as relaxed. so if you are between sizes, you might want to size down. if i did order a small, the sleeves might of been a tad short since i have longer arms. the shirt is sheer, so you will need a cami underneath. i wore a black one which w",4,06/10/2018
"Very pretty, too blousy","This is a very pretty blouse with a vintage, romantic looking fabric. the tiny pleats near the neck and shoulders are lovely. i love the colors...black, brown, and cream. it's hard to find a top that can be worn well with both black and brown. the long tie adds a romantic feel. this blouse is totally sheer so requires a cami or tank. i actually love the blouse, but returned it because it is super blousy. i am 5'2"", 140 lbs., and the small was fine. it is just so blousy, that even belting it didn",5,09/07/2018
Almost a winner,"There was only a l in store but i tried it as a gauge. given i am normally a xs/0, i knew it was going to be too big but wanted to see if i could get an idea of how it might look in my regular size. it truly is a lovely blouse - gauzy fabric, flowy feel and an easy piece to dress up or down. however the xs was much shorter in the sleeves, (above the wrist bone on me), and much shorter in the body, (sat at mid pelvis - for ref i am 5'7""). this completely altered the look and i think i would have",4,13/05/2018
Love this blouse,"This blouse is gorgeous, i purchased in two colors and absolutely love it. just a side note i normally wear a size small blouse or size 4-6 blouse, in this i went up a size and purchased the medium.",5,06/06/2018
Beautiful blouse can be tucked in or left out,"I bough this in the blue green color and it's absolutely beautiful -- just as it appears online. actually the shirt in general looks just like it does online -- it's fitted up top and flowy everywhere else. this may be because i'm fairly straight-figured -- it's possible it would be less flattering on a bigger bust. i agree with the other reviewers who say the fabric wrinkles too easily. i am sometimes an xs and sometimes a s, and i ordered the s in this and like how it fits. note: in meadow rue",5,13/10/2018
Perfect blouse!,"This blouse makes me feel young, vibrant, and beautiful! i got it in (2) colors with the coupon special. i love how it fits and it's slimming! love it. i have broad shoulders, and it is very slimming.",5,29/06/2018
Put a stop to this top,"I love this outfit so much and bought the skirt pictured with the top on the model in high hopes my quest for the perfect date night outfit would be ended. not so. for starters the top is much more of a beige in person. a horrible unflattering color that few can get away with successfully. secondly there is just so. much. fabric. it billows and bunches all over the place to wear it out like that as shown would be silly and to tuck it in looks like i've tried to hard to make it ""work"", lastly the",1,08/11/2018
Sweet,"I recently purchased this blouse in black. i love the soft yet crepe like fabric and the small bit of negative space trim just above the bust line gives it an air of elegance. comfortable and breathable, i see this becoming a ""how did i live without this"" staple.",5,15/02/2018
Do not wash!,"True to size until it met the laundry! let my disappointment be a lesson -- $80 for a blouse that i no longer recognize. i washed this item as indicated by the care instructions and it shrunk by at least 30%. dry clean this garment, or spot clean at best.",3,07/04/2018
Great blouse,"In love with this blouse, i first got in ivory went back and got in black, you can dress casual or up.",5,18/07/2018
Cute yet super wrinkly,"Super cut but easily wrinkles. eg. i ironed it, got dressed, then bent down to tie my daughters shoe and the whole front bottom was super wrinkly. i thought that it'd go away but it didn't... just got worse by the time i got out of my car at work... front and back were noticeably wrinkled all day.",3,26/03/2018
Great blouse for any occasion,"Great fit, looks excellent with jeans as well as tucked in with a pencil skirt.",5,22/01/2018
Lovely top,I purchased the teal/blue and the color is striking. though i put true to size the decorative top is slightly tight around the bust. and the bottom too is fitted and not flowy. for a looser fit you may want to size up. for a more fitted look it is true to size.,5,06/07/2018
Great work top,"I snagged this top with the 25% off sale and it's adorable. i got the white, and it goes great with some skinny jeans or tucked into a skirt. i found it ran true to size. my only complaint is that like some other reviewers have stated, it does wrinkly very easily. and i would say for full price i don't think the quality is worth the cost, but on sale, it's a great shirt.",5,03/12/2018
Lovely blouse,This top is so much cuter in person. it's light and airy and very feminine. can be worn casually or dressed up. definitely not as full/baggy as it appears in the photo.,5,14/11/2018
Love it!,"This one is perfect for the taller ladies (or those looking for a longer fit). i was a little discouraged by a few short-fitting tops recently, and this one finally works for me (at 5'7"" with a long torso). awesome quality, not overly delicate, and beautiful detail.",5,24/03/2018
Love this top,"This top arrived by mail this morning, it is beautiful even prettier than the picture. fits true to size and is wonderful quality. cannot wait to wear it when i leave on vacation this weekend.",5,14/08/2018
Well made top,"I am petite and so ordered this top in a petite size and found that it ran large. i am also pretty busty to boot, but found there was more than enough room. the length was still a bit long for me, however it does hit on my where it does on the model. the top is wonderful quality, thick and not see through at all. i am almost tempted to get a regular size and try to wear it as a dress.",5,15/11/2018
